brand,series_name,marketing_name,generation_year,panel_tech,tier,os,model_code_base,resolution,refresh_rate_native,hdr_formats,processor,dimming,peak_brightness_nits,sku_full,size_inch,region,price_msrp,gaming_features,connectivity
LG,C,OLED evo C4,2024,WOLED,high,webOS,C4,4K,144,Dolby Vision|HDR10|HLG,α9 Gen7,per-pixel,1065,OLED65C4KNA,65,KR,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,B,OLED B4,2024,WOLED,mid,webOS,B4,4K,120,Dolby Vision|HDR10|HLG,α8 AI,per-pixel,650,OLED65B4KNA,65,KR,,VRR|ALLM|120Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED90,QNED,2024,Mini-LED,high,webOS,QNED90T,4K,144,Dolby Vision|HDR10|HLG,α8 AI,mini-led,1500,65QNED90TKA,65,KR,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED80,QNED,2024,LED-LCD,mid,webOS,QNED80T,4K,120,HDR10|HLG,α7 AI,edge-lit,500,65QNED80TKA,65,KR,,VRR|ALLM|120Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.0 x3|eARC|WiFi|Bluetooth
LG,G,OLED evo G3,2023,WOLED,flagship,webOS,G3,4K,120,Dolby Vision|HDR10|HLG,α9 Gen6,per-pixel,1450,OLED65G3KNA,65,KR,,VRR|ALLM|120Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,C,OLED evo C3,2023,WOLED,high,webOS,C3,4K,120,Dolby Vision|HDR10|HLG,α9 Gen6,per-pixel,800,OLED65C3KNA,65,KR,,VRR|ALLM|120Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
Sony,BRAVIA9,BRAVIA 9,2024,Mini-LED,flagship,Google-TV,XR90,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,2300,K-65XR90,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA8,BRAVIA 8,2024,WOLED,high,Google-TV,XR80,4K,120,Dolby Vision|HDR10|HLG,XR Processor,per-pixel,1300,K-65XR80,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA7,BRAVIA 7,2024,Mini-LED,mid,Google-TV,XR70,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,1700,K-65XR70,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,A95L,BRAVIA A95L,2023,QD-OLED,flagship,Google-TV,A95L,4K,120,Dolby Vision|HDR10|HLG,XR Processor,per-pixel,1300,XR-65A95L,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,A80L,BRAVIA A80L,2023,WOLED,high,Google-TV,A80L,4K,120,Dolby Vision|HDR10|HLG,XR Processor,per-pixel,1300,XR-65A80L,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,X90L,BRAVIA X90L,2023,LED-LCD,mid,Google-TV,X90L,4K,120,Dolby Vision|HDR10|HLG,XR Processor,full-array,1300,XR-65X90L,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM8,QM8,2024,Mini-LED,flagship,Google-TV,QM851G,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Pro,mini-led,3000,65QM851G,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,C855,C855,2024,Mini-LED,high,Google-TV,C855,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Pro,mini-led,2500,65C855,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,C845,C845,2023,Mini-LED,high,Google-TV,C845,4K,144,Dolby Vision|HDR10+|HLG,AiPQ,mini-led,2000,65C845,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U8,ULED U8N,2024,Mini-LED,flagship,VIDAA,U8N,4K,144,Dolby Vision|HDR10+|HLG,Hi-View Engine,mini-led,2600,65U8N,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U7,ULED U7N,2024,Mini-LED,high,VIDAA,U7N,4K,144,Dolby Vision|HDR10+|HLG,Hi-View Engine,mini-led,1500,65U7N,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U6,ULED U6N,2024,Mini-LED,mid,VIDAA,U6N,4K,60,Dolby Vision|HDR10+|HLG,Hi-View Engine,mini-led,600,65U6N,65,KR,,ALLM|60Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U8,ULED U8K,2023,Mini-LED,flagship,VIDAA,U8K,4K,144,Dolby Vision|HDR10+|HLG,Hi-View Engine,mini-led,1500,65U8K,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
삼성,QN990,Neo QLED 8K,2025,Neo-QLED,flagship,Tizen,QN990F,8K,165,HDR10+|HLG,NQ8 AI Gen3,mini-led,2300,KQ65QNF990FXKR,65,KR,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN90,Neo QLED 4K,2025,Neo-QLED,flagship,Tizen,QN90F,4K,165,HDR10+|HLG,NQ4 AI Gen3,mini-led,2100,KQ65QNF90FXKR,65,KR,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN85,Neo QLED 4K,2025,Neo-QLED,high,Tizen,QN85F,4K,144,HDR10+|HLG,NQ4 AI Gen3,mini-led,1500,KQ65QNF85FXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S95,OLED,2025,QD-OLED,flagship,Tizen,S95F,4K,165,HDR10+|HLG,NQ4 AI Gen3,per-pixel,2132,KQ65SF95FXKR,65,KR,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S90,OLED,2025,QD-OLED,high,Tizen,S90F,4K,144,HDR10+|HLG,NQ4 AI Gen3,per-pixel,1300,KQ65SF90FXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,G,OLED evo G5,2025,WOLED,flagship,webOS,G5,4K,165,Dolby Vision|HDR10|HLG,α11 AI Gen2,per-pixel,2295,OLED65G5KNA,65,KR,,VRR|ALLM|165Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,C,OLED evo C5,2025,WOLED,high,webOS,C5,4K,144,Dolby Vision|HDR10|HLG,α9 Gen8,per-pixel,1180,OLED65C5KNA,65,KR,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,B,OLED B5,2025,WOLED,mid,webOS,B5,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen2,per-pixel,700,OLED65B5KNA,65,KR,,VRR|ALLM|120Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED9M,QNED evo,2025,Mini-LED,high,webOS,QNED9M,4K,144,Dolby Vision|HDR10|HLG,α8 AI Gen2,mini-led,1500,65QNED9MKA,65,KR,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA8II,BRAVIA 8 II,2025,QD-OLED,flagship,Google-TV,XR80II,4K,120,Dolby Vision|HDR10|HLG,XR Processor,per-pixel,2100,K-65XR80II,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA5,BRAVIA 5,2025,Mini-LED,high,Google-TV,XR50,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,2000,K-65XR50,65,KR,,VRR|ALLM|120Hz|Auto HDR Tone Mapping|Dolby Vision Gaming,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM8K,QM8K,2025,Mini-LED,flagship,Google-TV,QM8K,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Pro,mini-led,3035,65QM8K,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM7K,QM7K,2025,Mini-LED,high,Google-TV,QM7K,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Pro,mini-led,2000,65QM7K,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM6K,QM6K,2025,Mini-LED,mid,Google-TV,QM6K,4K,144,Dolby Vision|HDR10+|HLG,AiPQ,mini-led,1300,65QM6K,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U8,ULED U8QG,2025,Mini-LED,flagship,VIDAA,U8Q,4K,165,Dolby Vision|HDR10+|HLG,Hi-View AI Engine X,mini-led,3200,65U8QG,65,KR,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U7,ULED U7QG,2025,Mini-LED,high,VIDAA,U7Q,4K,165,Dolby Vision|HDR10+|HLG,Hi-View AI Engine,mini-led,2000,65U7QG,65,KR,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U6,ULED U6QG,2025,Mini-LED,mid,VIDAA,U6Q,4K,144,Dolby Vision|HDR10+|HLG,Hi-View AI Engine,mini-led,1000,65U6QG,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM9,QM9K,2025,Mini-LED,flagship,Google-TV,QM9K,4K,144,Dolby Vision|HDR10+|HLG,,mini-led,5000,65QM9K,65,US,2999,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
삼성,QN800,Neo QLED 8K,2025,Neo-QLED,high,Tizen,QN800F,8K,120,HDR10+|HLG,NQ8 AI Gen3,mini-led,1600,KQ65QNF800FXKR,65,KR,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
Sony,BRAVIA2II,BRAVIA 2 II,2025,LED-LCD,entry,Google-TV,S20M2,4K,60,HDR10|HLG,4K Processor X1,none,400,K-65S20M2,65,US,,ALLM|Auto HDR Tone Mapping,HDMI2.0 x4|eARC|WiFi|Bluetooth
삼성,Q7,QLED Q7F,2025,QLED,mid,Tizen,Q7F,4K,60,HDR10+|HDR10|HLG,Q4 AI,edge-lit,400,QN65Q7FAFXZA,65,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,LS03F,The Frame,2025,QLED,mid,Tizen,LS03F,4K,120,HDR10+|HLG,NQ4 AI Gen2,edge-lit,600,QN65LS03FAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
Hisense,UX,ULED UX RGB,2025,Mini-LED,flagship,Google-TV,UX,4K,165,Dolby Vision|HDR10+|HLG,Hi-View AI Engine X,mini-led,6000,116UX,116,US,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED85,QNED evo QNED85A,2025,Mini-LED,high,webOS,QNED85A,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen2,mini-led,700,65QNED85AUA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN80,Neo QLED 4K,2025,Neo-QLED,mid,Tizen,QN80F,4K,120,HDR10+|HLG,NQ4 AI Gen2,mini-led,1100,KQ65QNF80FXKR,65,KR,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,Q8,QLED Q8F,2025,QLED,mid,Tizen,Q8F,4K,120,HDR10+|HLG,Q4 AI,full-array,600,QN65Q8FAFXZA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED90,QNED evo QNED90A,2025,Mini-LED,high,webOS,QNED90A,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen2,mini-led,800,65QNED90AUA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,Q6,QLED Q6F,2025,QLED,entry,Tizen,Q6F,4K,60,HDR10+|HDR10|HLG,Q4 AI,none,300,QN65Q6FAFXZA,65,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,U8000,Crystal UHD U8000F,2025,LED-LCD,entry,Tizen,U8000F,4K,60,HDR10+|HDR10|HLG,Crystal 4K,none,300,UN65U8000FFXZA,65,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
LG,UA77,UHD UA77,2025,LED-LCD,entry,webOS,UA77,4K,60,HDR10|HLG,α7 AI Gen8,none,300,65UA7700PUA,65,US,,ALLM|VRR,HDMI2.0 x4|eARC|WiFi|Bluetooth
LG,QNED80,QNED80A,2025,LED-LCD,mid,webOS,QNED80A,4K,60,Dolby Vision|HDR10|HLG,α7 AI Gen6,edge-lit,400,65QNED80ARA,65,US,,ALLM|VRR,HDMI2.0 x4|eARC|WiFi|Bluetooth
Hisense,QD6,QD6 Hi-QLED,2025,QLED,entry,Fire-TV,QD6QF,4K,60,Dolby Vision|HDR10|HDR10+|HLG,Hi-View,none,300,65QD6QF,65,US,,ALLM,HDMI2.0 x4|eARC|WiFi|Bluetooth
TCL,S5,S5 4K LED,2025,LED-LCD,entry,Google-TV,S5,4K,60,Dolby Vision|HDR10|HDR10+|HLG,AIPQ,none,300,55S551G,55,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
Sony,BRAVIA3II,BRAVIA 3 II,2026,LED-LCD,mid,Google-TV,XR30M2,4K,120,Dolby Vision|HDR10|HLG,XR Triluminos Pro,full-array,500,K-65XR30M2,65,US,,VRR|ALLM|120Hz,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,M,OLED evo M5,2025,WOLED,flagship,webOS,M5,4K,144,Dolby Vision|HDR10|HLG,α11 AI Gen2,per-pixel,2200,OLED65M5PUA,65,US,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN95,Neo QLED 4K,2025,Neo-QLED,flagship,Tizen,QN95F,4K,165,HDR10+|HLG,NQ4 AI Gen3,mini-led,2200,QE65QN95FATXXU,65,EU,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,LS03FW,The Frame Pro,2025,Neo-QLED,high,Tizen,LS03FW,4K,120,HDR10+|HLG,NQ4 AI Gen3,mini-led,1000,QN65LS03FWFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
Hisense,U9,ULED U9N,2024,Mini-LED,flagship,Google-TV,U9N,4K,144,Dolby Vision|HDR10+|HLG,Hi-View Engine X,mini-led,5000,75U9N,75,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM8L,QM8L SQD Mini LED,2026,Mini-LED,flagship,Google-TV,QM8L,4K,144,Dolby Vision|HDR10+|HLG,TSR AI Pro,mini-led,6000,65QM8L,65,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Accelerator 288,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U6,ULED U6N,2024,Mini-LED,mid,Fire-TV,U6N,4K,60,Dolby Vision|HDR10+|HLG,Hi-View,mini-led,600,55U6N,55,US,,VRR|ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,QN70,Neo QLED 4K,2025,Neo-QLED,mid,Tizen,QN70F,4K,120,HDR10+|HLG,NQ4 AI Gen2,mini-led,750,QN65QN70FAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
Sony,BRAVIA9II,BRAVIA 9 II True RGB,2026,Mini-LED,flagship,Google-TV,XR95II,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,4250,K-65XR95M2,65,US,,VRR|ALLM|120Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
Sony,BRAVIA7II,BRAVIA 7 II True RGB,2026,Mini-LED,high,Google-TV,XR70II,4K,120,Dolby Vision|HDR10|HLG,XR Processor,mini-led,2500,K-65XR70M2,65,US,,VRR|ALLM|120Hz,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED92,QNED evo QNED92,2026,Mini-LED,flagship,webOS,QNED92,4K,144,Dolby Vision|HDR10|HLG,α8 AI Gen3,mini-led,1500,65QNED92TUA,65,US,,VRR|ALLM|144Hz|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,R95,Micro RGB,2026,Mini-LED,flagship,Tizen,R95H,4K,165,HDR10+|HLG,Micro RGB AI,mini-led,4000,QN65R95HAFXZA,65,US,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,R85,Micro RGB,2026,Mini-LED,high,Tizen,R85H,4K,144,HDR10+|HLG,Micro RGB AI,mini-led,2500,QN65R85HAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,U8000H,Crystal UHD U8000H,2026,LED-LCD,entry,Tizen,U8000H,4K,60,HDR10+|HDR10|HLG,Crystal 4K,none,300,UN65U8000HFXZA,65,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,LS03H,The Frame,2026,QLED,mid,Tizen,LS03H,4K,120,HDR10+|HLG,NQ4 AI Gen2,edge-lit,600,QN65LS03HAFXZA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
TCL,QM7L,QM7L SQD Mini LED,2026,Mini-LED,high,Google-TV,QM7L,4K,144,Dolby Vision|HDR10+|HLG,TSR AI,mini-led,3000,65QM7L,65,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Accelerator 288,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,QM6L,QM6L SQD Mini LED,2026,Mini-LED,mid,Google-TV,QM6L,4K,144,Dolby Vision|HDR10+|HLG,TSR AI,mini-led,1000,65QM6L,65,US,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U7-2026,ULED U7 2026,2026,Mini-LED,high,Google-TV,U7SG,4K,165,Dolby Vision|HDR10+|HLG,Hi-View,mini-led,3000,65U7SG,65,US,,VRR|ALLM|165Hz|FreeSync Premium Pro|Game Mode Pro,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED85B,QNED evo QNED85,2026,Mini-LED,high,webOS,QNED85B,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen3,mini-led,1000,65QNED85UQA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,M70,Mini LED 4K M70H,2026,Mini-LED,mid,Tizen,M70H,4K,60,HDR10+|HDR10|HLG,Mini LED 4K,mini-led,600,UN65M70HAFXZA,65,US,,ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,M80,Mini LED 4K M80H,2026,Mini-LED,high,Tizen,M80H,4K,144,HDR10+|HDR10|HLG,Mini LED 4K AI,mini-led,800,UN65M80HAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync,HDMI2.1 x2|eARC|WiFi|Bluetooth
Hisense,U6,ULED U6 2026,2026,Mini-LED,mid,Fire-TV,U6SF,4K,60,Dolby Vision|HDR10+|HLG,Hi-View,mini-led,600,65U6SF,65,US,,VRR|ALLM,HDMI2.0 x3|eARC|WiFi|Bluetooth
LG,QNED80B,QNED evo QNED80,2026,Mini-LED,mid,webOS,QNED80B,4K,120,Dolby Vision|HDR10|HLG,α7 AI Gen3,mini-led,700,65QNED80BUA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,W,OLED evo W6 Wallpaper,2026,WOLED,flagship,webOS,W6,4K,165,Dolby Vision|HDR10|HLG,α11 AI Gen3,per-pixel,2600,OLED77W6PUA,77,US,,VRR|ALLM|165Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,LS03HW,The Frame Pro,2026,Neo-QLED,high,Tizen,LS03HW,4K,120,HDR10+|HLG,NQ4 AI Gen3,mini-led,1000,QN65LS03HWFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,QNED84B,QNED evo QNED84,2026,Mini-LED,mid,webOS,QNED84B,4K,120,Dolby Vision|HDR10|HLG,α8 AI Gen3,mini-led,900,65QNED84BUA,65,US,,VRR|ALLM|120Hz|FreeSync,HDMI2.1 x2|eARC|WiFi|Bluetooth
LG,QNED73B,QNED QNED73,2026,Mini-LED,entry,webOS,QNED73B,4K,60,HDR10|HLG,α7 AI Gen3,mini-led,500,65QNED73BUA,65,US,,ALLM|VRR,HDMI2.0 x3|eARC|WiFi|Bluetooth
LG,QNED92A,QNED evo QNED92A,2025,Mini-LED,flagship,webOS,QNED92A,4K,144,Dolby Vision|HDR10|HLG,α8 AI Gen2,mini-led,1520,65QNED92AUA,65,US,,VRR|ALLM|144Hz|G-Sync|FreeSync,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN900,Neo QLED 8K,2025,Neo-QLED,flagship,Tizen,QN900F,8K,120,HDR10+|HLG,NQ8 AI Gen2,mini-led,2000,QN65QN900FFXZA,65,US,,VRR|ALLM|165Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S85,OLED,2025,QD-OLED,mid,Tizen,S85F,4K,120,HDR10+|HLG,NQ4 AI Gen2,per-pixel,1000,QN65S85FAFXZA,65,US,,VRR|ALLM|144Hz|FreeSync Premium,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,MR95,Micro RGB,2025,Mini-LED,flagship,Tizen,MR95F,4K,120,HDR10+|HLG,Micro RGB AI,mini-led,4000,MRN115MR95FXZA,115,US,29999,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
TCL,X11,X11K QD Mini LED,2025,Mini-LED,flagship,Google-TV,X11K,4K,144,Dolby Vision|HDR10+|HLG,AiPQ Ultra,mini-led,6500,85X11K,85,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
TCL,X11L,X11L SQD Mini LED,2026,Mini-LED,flagship,Google-TV,X11L,4K,144,Dolby Vision|HDR10+|HLG,TSR AI,mini-led,6500,85X11L,85,US,,VRR|ALLM|144Hz|FreeSync Premium Pro|Game Master,HDMI2.1 x2|eARC|WiFi|Bluetooth
